Municipio,Departamento,Votos para senado 2014,Porcentaje de Oscar Ivan Zuluaga (1ra vuelta),Total (1ra vuelta),Participacion (1ra vuelta),Ganador (1ra vuelta),Porcentaje de Oscar Ivan Zuluaga (2da vuelta),Total (2da vuelta),Participacion (2da vuelta),Ganador,Censo electoral 2016,Actos terroristas,Amenaza,Desplazamiento,Homicidio,Secuestro,Vinculacion de Ninos y Adolescentes,Minas Antipersonal,Abandono o Despojo de Tierras,Afectado por el conflicto (Pares),Afectado por el conflicto (Pares)2,Votos por el No,Porcentaje No,Votos por el Si,Porcentaje Si,Votos validos,Votos totales,Cuantos salieron a votar,Abstencion,ind ruralidad 2014,Zonas de concentracion,Cultivos ilicitos,Hectareas de coca,Hectareas de amapola
Guamo,Tolima,9466,0.3456,9716,0.3853,Zuluaga,0.6544,12169,0.4826,Zuluaga,25766,0.34,5.7,66.83,13.23,0.31,0.12,0,0,Ninguno,0,5783,0.6553,3042,0.3447,8825,9014,0.3498,0.6502,0.4887,No,No,0,0
Herveo,Tolima,2392,0.5553,2334,0.3881,Zuluaga,0.7773,2896,0.4815,Zuluaga,5922,1,11.86,272.23,54.95,1.25,0.37,0.25,0,Ninguno,0,1128,0.6091,724,0.3909,1852,1932,0.3262,0.6738,0.7459,No,No,0,0
Honda,Tolima,7673,0.2826,9040,0.4004,Santos,0.4869,10184,0.451,Zuluaga,23027,0.53,3.91,34.42,23.1,0.65,0,0,0,Ninguno,0,4788,0.5743,3549,0.4257,8337,8549,0.3713,0.6287,0.0308,No,No,0,0
Icononzo,Tolima,3006,0.3522,3248,0.3973,Santos,0.4649,3932,0.481,Santos,8395,2.39,21.66,441.99,57.28,1.1,0.09,0.64,0,Ninguno,0,1335,0.4712,1498,0.5288,2833,2912,0.3469,0.6531,0.6908,No,No,0,0
Lerida,Tolima,5481,0.2668,5888,0.3983,Santos,0.423,7090,0.4797,Santos,15269,0.57,9.2,198.28,27.36,1.32,0.11,0.06,0,Ninguno,0,2812,0.5058,2748,0.4942,5560,5665,0.371,0.629,0.1888,No,No,0,0
Libano,Tolima,10340,0.4213,12659,0.3908,Zuluaga,0.5862,15045,0.4645,Zuluaga,32895,1.12,13.09,413.82,21.93,0.92,0.27,0.1,0.89,Ninguno,0,5238,0.5038,5158,0.4962,10396,10767,0.3273,0.6727,0.3776,No,No,0,0
San Sebastian de Mariquita,Tolima,9738,0.4269,12691,0.4632,Zuluaga,0.5316,13864,0.5061,Zuluaga,28817,4.12,7.73,115.02,43.6,0.99,0.21,0.05,0,Ninguno,0,6277,0.5787,4570,0.4213,10847,11144,0.3867,0.6133,0.2732,No,No,0,0
Melgar,Tolima,9103,0.4914,11809,0.4653,Zuluaga,0.6954,13025,0.5132,Zuluaga,27553,0.21,0.72,11.88,4.92,0.12,0.06,0.03,0,Ninguno,0,7663,0.7118,3102,0.2882,10765,10942,0.3971,0.6029,0.1736,No,No,0,0
Murillo,Tolima,987,0.4008,1180,0.321,Zuluaga,0.7291,1462,0.3977,Zuluaga,3782,0.61,3.33,61.01,2.53,0.17,0.08,0,0,Ninguno,0,690,0.6278,409,0.3722,1099,1169,0.3091,0.6909,0.7017,No,No,0,0
Natagaima,Tolima,5553,0.2928,5287,0.3449,Santos,0.3947,6805,0.444,Santos,15411,17.74,223.99,2238.94,119.97,2.39,3.79,0.2,0,Bajo,1,2331,0.4397,2970,0.5603,5301,5420,0.3517,0.6483,0.3372,No,No,0,0
Ortega,Tolima,8337,0.4022,9519,0.405,Zuluaga,0.654,11854,0.5044,Zuluaga,23729,1.24,35.4,528.96,28.34,0.89,0.31,1.95,0,Intermedio,2,4872,0.6001,3247,0.3999,8119,8505,0.3584,0.6416,0.7527,No,No,0,0
Palocabildo,Tolima,2146,0.5234,2631,0.3776,Zuluaga,0.6341,3539,0.508,Zuluaga,7468,0.15,3.7,81.71,9.16,0.28,0.06,0,0,Ninguno,0,1412,0.5847,1003,0.4153,2415,2488,0.3332,0.6668,0.6929,No,No,0,0
Piedras,Tolima,2038,0.1559,1835,0.3406,Zuluaga,0.3298,2162,0.4013,Santos,5387,0.11,0.55,14.52,1.42,0.22,0,0,0,Ninguno,0,959,0.4961,974,0.5039,1933,1968,0.3653,0.6347,0.6874,No,No,0,0
Planadas,Tolima,4180,0.4755,6296,0.3341,Zuluaga,0.6508,7903,0.4193,Zuluaga,19662,21.45,273.76,3995.04,235.99,9.57,17.02,26.77,0,Bajo,1,3081,0.5223,2818,0.4777,5899,6205,0.3156,0.6844,0.7462,Si,Si,0,1.9
Prado,Tolima,2757,0.5175,3080,0.3965,Zuluaga,0.6464,3905,0.5027,Zuluaga,7933,1.07,45.51,235.67,13.44,0.57,0.03,0.2,0,Bajo,1,1799,0.6161,1121,0.3839,2920,2999,0.378,0.622,0.5813,No,No,0,0
Purificacion,Tolima,8588,0.2643,8387,0.4213,Santos,0.4674,10595,0.5322,Santos,20186,1.17,26.36,341.77,30.26,0.78,0.39,0,0,Bajo,1,4139,0.5057,4045,0.4943,8184,8339,0.4131,0.5869,0.3982,No,No,0,0
Rioblanco,Tolima,3831,0.4718,4684,0.3071,Zuluaga,0.6167,5805,0.3806,Zuluaga,16033,2.72,36.99,946.25,44.68,0.78,1.22,3.09,0,Bajo,1,2317,0.5119,2209,0.4881,4526,4778,0.298,0.702,0.8111,No,Si,0,0.5
Roncesvalles,Tolima,1066,0.556,1536,0.3869,Zuluaga,0.7323,1681,0.4234,Zuluaga,4175,0.98,11.98,145.18,11.61,0.45,0.33,0.61,0,Intermedio,2,728,0.4866,768,0.5134,1496,1566,0.3751,0.6249,0.7596,No,Si,0,0.9
Rovira,Tolima,6459,0.5319,6225,0.3367,Zuluaga,0.7752,8074,0.4366,Zuluaga,19506,10.09,138.87,1980.77,107.19,2.36,1.1,4.26,0,Ninguno,0,4287,0.7071,1776,0.2929,6063,6272,0.3215,0.6785,0.523,No,Si,0,0.4
Saldana,Tolima,4706,0.3232,4814,0.3918,Zuluaga,0.6467,5856,0.4766,Zuluaga,12416,0.19,5.01,89.38,6.33,0.44,0.1,0,0,Ninguno,0,2954,0.6688,1463,0.3312,4417,4492,0.3618,0.6382,0.4072,No,No,0,0
San Antonio,Tolima,3329,0.6433,4107,0.4176,Zuluaga,0.8574,4781,0.4862,Zuluaga,10013,8.41,39.42,820.79,61.04,1.46,1.11,0.7,0,Bajo,1,2770,0.7163,1097,0.2837,3867,4044,0.4039,0.5961,0.7065,No,No,0,0
San Luis,Tolima,4610,0.4357,4726,0.4373,Zuluaga,0.5583,6016,0.5566,Zuluaga,10802,0.49,68.48,220.27,15.72,0.14,0.91,0,0,Ninguno,0,2595,0.613,1638,0.387,4233,4344,0.4021,0.5979,0.8068,No,No,0,0
Santa Isabel,Tolima,2033,0.567,2007,0.3427,Zuluaga,0.8066,2652,0.4528,Zuluaga,5802,1.89,56.79,551.36,24.38,1.1,0.63,1.57,0,Ninguno,0,1256,0.7214,485,0.2786,1741,1791,0.3087,0.6913,0.6438,No,Si,0,0.3
Suarez,Tolima,1668,0.3426,1754,0.4026,Santos,0.5194,2237,0.5134,Zuluaga,4386,0.88,1.98,47.06,6.6,0.22,0.22,0,0,Ninguno,0,1095,0.61,700,0.39,1795,1813,0.4134,0.5866,0.5274,No,No,0,0
Valle de San Juan,Tolima,2443,0.3729,2006,0.4039,Ramirez,0.7684,2582,0.5198,Zuluaga,4942,1.26,18.53,206.19,15.55,0.31,1.1,0,10.68,Bajo,1,789,0.5397,673,0.4603,1462,1500,0.3035,0.6965,0.5471,No,No,0,0
Venadillo,Tolima,3986,0.3611,4378,0.3819,Santos,0.4823,5325,0.4645,Santos,11721,1.53,11.09,178.61,19.74,1.53,0.05,0.05,0.2,Ninguno,0,2478,0.5623,1929,0.4377,4407,4488,0.3829,0.6171,0.2716,No,No,0,0
Villahermosa,Tolima,2545,0.6695,2778,0.3967,Zuluaga,0.8279,3474,0.4961,Zuluaga,7181,1.6,24.88,498.59,37.46,0.94,0.38,0.19,0,Ninguno,0,1732,0.7411,605,0.2589,2337,2419,0.3369,0.6631,0.6586,No,No,0,0
Villarrica,Tolima,1835,0.7077,2046,0.4007,Zuluaga,0.7721,2405,0.471,Zuluaga,5204,8.54,37.48,976.8,26.35,0.19,1.11,1.11,0,Ninguno,0,1070,0.6146,671,0.3854,1741,1793,0.3445,0.6555,0.5984,Si,No,0,0
Cali,Valle del Cauca,384029,0.1788,550049,0.3549,Santos,0.3339,607422,0.3919,Santos,1637938,0.23,1.46,9.24,3.09,0.09,0.02,0.01,0.01,Ninguno,0,269502,0.4572,319949,0.5428,589451,596245,0.364,0.636,0.0156,No,No,0,0
Alcala,Valle del Cauca,3633,0.3024,4240,0.3872,Santos,0.4786,4764,0.4351,Santos,11192,0.18,4.09,34.9,21.99,0.18,0,0,0,Ninguno,0,1886,0.5111,1804,0.4889,3690,3800,0.3395,0.6605,0.4646,No,No,0,0
Andalucia,Valle del Cauca,7719,0.1558,7246,0.3746,Ramirez,0.3038,8801,0.455,Santos,19548,0.56,2.87,58.41,29.85,0.11,0.06,0,0,Ninguno,0,3219,0.4787,3505,0.5213,6724,6865,0.3512,0.6488,0.1805,No,No,0,0
Ansermanuevo,Valle del Cauca,5276,0.3629,6911,0.3607,Zuluaga,0.7134,7696,0.4016,Zuluaga,19269,0.31,4.47,44.58,17.17,0.26,0.05,0,0,Ninguno,0,3609,0.684,1667,0.316,5276,5405,0.2805,0.7195,0.3322,No,No,0,0
Argelia,Valle del Cauca,2194,0.2636,2375,0.3698,Santos,0.6085,2751,0.4283,Zuluaga,6426,1.25,7.63,156.83,25.7,0.16,0,0,0,Ninguno,0,983,0.5157,923,0.4843,1906,1955,0.3042,0.6958,0.5184,No,No,0,0
Bolivar,Valle del Cauca,5982,0.3088,4657,0.3513,Zuluaga,0.613,5695,0.4296,Zuluaga,13389,1.73,34.13,300.33,53.07,1.05,0.08,0,9.02,Ninguno,0,2759,0.5719,2065,0.4281,4824,4964,0.3708,0.6292,0.746,No,Si,16.18,0
